,complaint_type,text,labels
1449,DOF PARKING - PAYMENT ISSUE,Person Reflected,5
228,AIR QUALITY,air odor fumes private carting,0
5,CONSTRUCTION,mold,1
1978,SANITATION,felony canine violation,18
2090,TREE,branch limb fallen,23
2634,TRAFFIC,head controller,22
882,TRAFFIC,conflict monitor,22
501,AIR QUALITY,air smoke vehicular,0
581,CONSUMER COMPLAINT,documents paperwork missing,3
1138,VIOLATION OF PARK RULES,obstructing future public housing use,24
1464,DOF PARKING - PAYMENT ISSUE,business finance reflected center,5
123,OTHER,signage,16
1373,ILLEGAL PARKING,overnight equipment storage,13
2032,NOISE,air noise condition ventilation residential equip,15
637,STREET CONDITION,control panel damaged,21
1286,HIGHWAY CONDITION,concrete drawings,11
1807,HAZARDOUS MATERIALS,lead outdoor,10
850,TRAFFIC,mssg sign multi lamp,22
2232,DOF PROPERTY - REDUCTION ISSUE,personal exemption sche,7
2406,FOOD ESTABLISHMENT,food worker safety,9
959,MAINTENANCE OR FACILITY,structure open,14
1056,CONSTRUCTION SAFETY ENFORCEMENT,demo tracking interior complaint,2
938,MAINTENANCE OR FACILITY,snow ice,14
1817,HAZARDOUS MATERIALS,Natural gas leak affects internal use,10
2463,HPD LITERATURE REQUEST,tenant landlord disputes brochure english,12
1627,WATER CONSERVATION,foreword,25
1794,HAZARDOUS MATERIALS,oil rig spill street small,10
2282,DOF PROPERTY - REDUCTION ISSUE,personal family dhe exemption,7
531,HAZARDOUS MATERIALS,unsafe chemical storage,10
2123,TREE,entire tree,23
15,ELECTRICAL,electric wiring,8
64,STREET CONDITION,street light cycling,21
1422,DOF PARKING - PAYMENT ISSUE,card dof confirmation issued,5
1540,SCRIE,minimum rent share discrepancy,19
700,DCA / DOH NEW LICENSE APPLICATION REQUEST,temporary tattoo license,4
2497,HPD LITERATURE REQUEST,Tenant landlord disputes Spanish brochure,12
2370,SEWER,manhole wall overflow,20
2444,FOOD ESTABLISHMENT,toilet facility,9
293,SANITATION,weeds,18
1476,SCRIE,joe scrie recertification,19
2621,DCA / DOH NEW LICENSE APPLICATION REQUEST,home equity contractor services,4
2104,TREE,dead tree dying,23
2629,DCA / DOH NEW LICENSE APPLICATION REQUEST,academic license,4
516,DOF PARKING - PAYMENT ISSUE,finance business center reflected,5
267,CONSTRUCTION,landmark bldg illegal work,1
331,FOOD ESTABLISHMENT,water,9
2245,DOF PROPERTY - REDUCTION ISSUE,summer star exemption,7
1923,SANITATION,green area,18
861,SEWER,soap segment dep internal use recurring soap dep internal use,20
1904,DOF PROPERTY - PAYMENT ISSUE,refund info status credit,6
1656,OTHER,vermin,16
802,DCA / DOH NEW LICENSE APPLICATION REQUEST,temporary amusement device license,4
2223,AIR QUALITY,air fume,0
37,TRAFFIC,cable,22
107,TRAFFIC,ped lamp,22
1186,VIOLATION OF PARK RULES,removing flowers certain plants,24
627,TRAFFIC,lane control signal,22
1454,DOF PARKING - PAYMENT ISSUE,status,5
1177,VIOLATION OF PARK RULES,Cycle path roller skaters,24
321,DOF PROPERTY - PAYMENT ISSUE,incorrect amount paid,6
1268,HIGHWAY CONDITION,painted brake line marking,11
1816,HAZARDOUS MATERIALS,natural gas internal leak dep use,10
1602,WATER CONSERVATION,residential water waste problem,25
111,DCA / DOH NEW LICENSE APPLICATION REQUEST,home improvement contractor license,4
1034,CONSTRUCTION SAFETY ENFORCEMENT,every csc full demo tracking,2
2267,DOF PROPERTY - REDUCTION ISSUE,nevada veteran exemption,7
1710,OTHER,cooking time,16
886,TRAFFIC,det sens amplifier,22
2504,HPD LITERATURE REQUEST,ownership home kit,12
1614,WATER CONSERVATION,illegal use drugs,25
344,TRAFFIC,conduit,22
1105,ELECTRICAL,Socket Switches,8
2220,AIR QUALITY,air borne smoke,0
1253,HIGHWAY CONDITION,dead gorgeous,11
2055,NOISE,noise labourer hammering,15
1354,ILLEGAL PARKING,double car parked blocking vehicle,13
147,NOISE,noise air condition ventilation equip commercial,15
1352,ILLEGAL PARKING,blocking double parked traffic,13
2575,CONSTRUCTION,natural gas,1
2437,FOOD ESTABLISHMENT,small animal,9
2328,SEWER,manhole missing cover,20
1687,OTHER,signage,16
1357,ILLEGAL PARKING,double digit blocking system,13
2278,DOF PROPERTY - REDUCTION ISSUE,commercial profit,7
79,SANITATION,illegal postering,18
622,CONSUMER COMPLAINT,extra parts,3
365,FOOD ESTABLISHMENT,food preparation location,9
1337,ILLEGAL PARKING,Hydrant blocked,13
1686,OTHER,signage,16
84,PLUMBING,dirty water,17
834,CONSTRUCTION,inspect show,1
1301,ILLEGAL PARKING,blocked ballots,13
2423,FOOD ESTABLISHMENT,sewerage,9
818,DCA / DOH NEW LICENSE APPLICATION REQUEST,horse drawn carriage driver license,4
338,CONSUMER COMPLAINT,sidewalk blocked,3
1295,HIGHWAY CONDITION,high smoke,11
426,DOF PROPERTY - PAYMENT ISSUE,bill received error,6
2550,CONSTRUCTION,floor,1
1971,SANITATION,rubbish,18
2227,DOF PROPERTY - REDUCTION ISSUE,du sche ge,7
2162,AIR QUALITY,foul air side odor paint fumes vehicle idling,0
731,CONSUMER COMPLAINT,gas station,3
92,SANITATION,canine violation,18
1419,DOF PARKING - PAYMENT ISSUE,assigned dof confirmation number,5
2073,TREE,Branch broke,23
284,FOOD ESTABLISHMENT,food contains foreign object,9
1752,HAZARDOUS MATERIALS,spill petroleum,10
153,SANITATION,receptacle violation,18
1201,VIOLATION OF PARK RULES,Unauthorised filming,24
2149,AIR QUALITY,industrial elemental gases odors,0
2014,NOISE,noise pollution,15
734,CONSTRUCTION,vesting inspection,1
375,TREE,roots damaged,23
394,MAINTENANCE OR FACILITY,rodent sighting,14
1490,SCRIE,pending application renewal,19
962,MAINTENANCE OR FACILITY,grass woodland weeds,14
1727,OTHER,bell buzzer intercommunication system,16
2455,FOOD ESTABLISHMENT,food thought contaminated,9
1673,OTHER,Caretaker,16
1460,DOF PARKING - PAYMENT ISSUE,vietnam finance center business center reflected,5
1998,NOISE,noise construction,15
1547,SCRIE,appeal,19
699,DOF PROPERTY - PAYMENT ISSUE,electronic fund transfer problem,6
1311,ILLEGAL PARKING,posted park sign encroachment,13
932,MAINTENANCE OR FACILITY,racist graffiti causes vandalism,14
1277,HIGHWAY CONDITION,loose balls,11
783,CONSUMER COMPLAINT,pawn broker,3
2506,HPD LITERATURE REQUEST,supports hpd guide programs services,12
2628,DCA / DOH NEW LICENSE APPLICATION REQUEST,liquor laundry license,4
214,TRAFFIC,temporary,22
1487,SCRIE,scrie application problem,19
2570,CONSTRUCTION,nitrogen gas,1
1789,HAZARDOUS MATERIALS,unsafe mass storage,10
1388,DOF PARKING - PAYMENT ISSUE,cash waive penalty late deposit payment,5
377,DCA / DOH NEW LICENSE APPLICATION REQUEST,tow truck driver license,4
1469,SCRIE,emergency assistance,19
978,CONSTRUCTION SAFETY ENFORCEMENT,best high rise tracking complaint,2
19,PLUMBING,radiator,17
323,FOOD ESTABLISHMENT,odor,9
764,CONSUMER COMPLAINT,sidewalk cafe,3
993,CONSTRUCTION SAFETY ENFORCEMENT,best tracing complaint low price level,2
1519,SCRIE,written matter approval order,19
419,ELECTRICAL,outlet switch,8
1377,ILLEGAL PARKING,Commercial storage overnight,13
2599,PLUMBING,body water leaks,17
2545,CONSTRUCTION,Mold,1
1416,DOF PARKING - PAYMENT ISSUE,charged card twice,5
178,SEWER,sewer odor,20
133,FOOD ESTABLISHMENT,rodents insects garbage,9
1576,WATER CONSERVATION,meter water leaking broken,25
2270,DOF PROPERTY - REDUCTION ISSUE,personal veteran data,7
1320,ILLEGAL PARKING,overnight commercial parking,13
2200,AIR QUALITY,air problem air,0
665,HPD LITERATURE REQUEST,loan brochures,12
2210,AIR QUALITY,still air scents odor fumes private carting,0
454,TRAFFIC,congestion gridlock,22
1159,VIOLATION OF PARK RULES,unsafe use vacation spot,24
1842,DOF PROPERTY - PAYMENT ISSUE,status cash refund,6
782,TRAFFIC,marine flasher,22
1672,OTHER,Super janitor,16
597,DOF PROPERTY - REDUCTION ISSUE,commercial green roof solar panel exemption,7
174,TRAFFIC,post,22
2141,TREE,one generation,23
1544,SCRIE,discrepancy rent,19
576,STREET CONDITION,sidewalk grating missing,21
2129,TREE,Whole tree toppled,23
1712,OTHER,gas cooking,16
1149,VIOLATION OF PARK RULES,classic long seeded lawn,24
1474,SCRIE,de scrie recertification,19
2408,FOOD ESTABLISHMENT,food activity worker,9
270,NOISE,noise jack hammering,15
1811,HAZARDOUS MATERIALS,pc resource leak dep internal risk,10
76,TRAFFIC,vehicle signal,22
151,SEWER,catch basin search,20
2576,CONSTRUCTION,gas,1
2646,STREET CONDITION,pothole,21
589,DCA / DOH NEW LICENSE APPLICATION REQUEST,debt collection agency license,4
682,HIGHWAY CONDITION,high grass,11
1983,SANITATION,canine tooth violation,18
1040,CONSTRUCTION SAFETY ENFORCEMENT,csc full demo tracking,2
1434,DOF PARKING - PAYMENT ISSUE,status payment adjustment,5
2098,TREE,dead people dying tree,23
358,TRAFFIC,structure,22
500,TRAFFIC,chronic stoplight violation,22
2632,DCA / DOH NEW LICENSE APPLICATION REQUEST,license laundry,4
2460,HPD LITERATURE REQUEST,agricultural tenant landlord relations disputes newspaper brochure english,12
1245,HIGHWAY CONDITION,bruce highway,11
2302,DOF PROPERTY - REDUCTION ISSUE,homestead,7
101,TRAFFIC,veh signal head,22
567,DCA / DOH NEW LICENSE APPLICATION REQUEST,garage parking lot license,4
1550,SCRIE,application library,19
1287,HIGHWAY CONDITION,concrete roadblock,11
817,PLUMBING,open excavation,17
1421,DOF PARKING - PAYMENT ISSUE,card dof certification application issued,5
143,SCRIE,scrie recertification,19
2281,DOF PROPERTY - REDUCTION ISSUE,Exemption commercial profits,7
917,MAINTENANCE OR FACILITY,helicopter operation,14
1606,WATER CONSERVATION,water waste collecting,25
1006,CONSTRUCTION SAFETY ENFORCEMENT,cse,2
1271,HIGHWAY CONDITION,painted line nock,11
1243,HIGHWAY CONDITION,graffiti,11
2555,CONSTRUCTION,co,1
1799,HAZARDOUS MATERIALS,oil color release street small,10
2511,HPD LITERATURE REQUEST,hpd guide programs service,12
2033,NOISE,Noise Air Conditioning Equip Ventilation Residential,15
1963,SANITATION,litter science,18
587,STREET CONDITION,honorary,21
2606,PLUMBING,basin Edit,17
1074,ELECTRICAL,green lighting,8
405,PLUMBING,heavy flow,17
283,TRAFFIC,veh signal visor,22
1284,HIGHWAY CONDITION,concrete dust barrier,11
39,PLUMBING,hydrant running,17
223,FOOD ESTABLISHMENT,food protection,9
1841,DOF PROPERTY - PAYMENT ISSUE,Interest rate dispute,6
1675,OTHER,smoke upon,16
2006,NOISE,noise recognition techniques,15
70,HIGHWAY CONDITION,pothole highway,11
1761,HAZARDOUS MATERIALS,Chemical odour,10
1370,ILLEGAL PARKING,overnight commercial storage,13
2487,HPD LITERATURE REQUEST,heat bulletin,12
1914,SANITATION,dead little animals,18
1335,ILLEGAL PARKING,blocked water tap,13
2009,NOISE,Building noise,15
1131,ELECTRICAL,immigration enforcement work plus,8
1836,DOF PROPERTY - PAYMENT ISSUE,national interest dispute,6
968,MAINTENANCE OR FACILITY,Weeds grass,14
2212,AIR QUALITY,air odor fumes private luggage carting,0
1677,OTHER,collision detector,16
2407,FOOD ESTABLISHMENT,food thought worker activity,9
1706,OTHER,fire cooking gas,16
2419,FOOD ESTABLISHMENT,r,9
1208,VIOLATION OF PARK RULES,posting unauthorized signs,24
1947,SANITATION,street dump zone,18
556,FOOD ESTABLISHMENT,toxic chemical material,9
2093,TREE,branch fallen,23
916,MAINTENANCE OR FACILITY,hours operation,14
1596,WATER CONSERVATION,rooftank exhaust leak valve overflow,25
1360,ILLEGAL PARKING,double blocking vehicle parked,13
937,MAINTENANCE OR FACILITY,Graffiti vandalism,14
1437,DOF PARKING - PAYMENT ISSUE,periodic payment adjustment,5
450,HAZARDOUS MATERIALS,oil spill street large,10
773,CONSUMER COMPLAINT,car rental,3
2351,SEWER,catch river basin search,20
1561,WATER CONSERVATION,Waste taps Dishwasher urinaletc private home,25
2039,NOISE,noise atmosphere condition ventilation equip commercial grade,15
2217,AIR QUALITY,Odour nuisance private kart rides,0
122,CONSTRUCTION,building vacant open unguarded,1
527,TRAFFIC,controller cabinet,22
1052,CONSTRUCTION SAFETY ENFORCEMENT,interior demo electronics tracking complaint,2
728,CONSUMER COMPLAINT,home heating oil company,3
979,CONSTRUCTION SAFETY ENFORCEMENT,best low rise building complaint,2
114,HPD LITERATURE REQUEST,homefirst payment information,12
2045,NOISE,noise changing sources,15
253,DCA / DOH NEW LICENSE APPLICATION REQUEST,seasonal mobile food vendor license,4
1184,VIOLATION OF PARK RULES,smoking,24
1375,ILLEGAL PARKING,overnight commercial grade storage,13
1553,SCRIE,Appeal,19
1916,SANITATION,seven dead animals,18
1130,ELECTRICAL,electrical system enforcement rules work order,8
2465,HPD LITERATURE REQUEST,Tenant landlord disputes brochure,12
2566,CONSTRUCTION,fire experiment,1
1164,VIOLATION OF PARK RULES,several unlicensed consumer vendors,24
1974,SANITATION,loose watch,18
851,TRAFFIC,ver message sign,22
281,PLUMBING,hyd valve box cover missing,17
2191,AIR QUALITY,airing,0
2183,AIR QUALITY,air dust building wipeout,0
1048,CONSTRUCTION SAFETY ENFORCEMENT,best dm tracking complaint,2
2194,AIR QUALITY,air disaster air problem,0
1452,DOF PARKING - PAYMENT ISSUE,status protection pv payment refund,5
1456,DOF PARKING - PAYMENT ISSUE,status refund pv,5
97,STREET CONDITION,failed street repair,21
805,DCA / DOH NEW LICENSE APPLICATION REQUEST,horse stable license,4
1878,DOF PROPERTY - PAYMENT ISSUE,payment source,6
984,CONSTRUCTION SAFETY ENFORCEMENT,high best rise complaint tracking,2
1111,ELECTRICAL,wiring,8
1829,DOF PROPERTY - PAYMENT ISSUE,made wrong reasons,6
592,HPD LITERATURE REQUEST,certificate harassment zoning,12
2591,PLUMBING,bathing tub,17
2512,HPD LITERATURE REQUEST,hpd guide programs services,12
2613,DCA / DOH NEW LICENSE APPLICATION REQUEST,single term mobile food vendor engagement,4
899,CONSUMER COMPLAINT,domestic employee,3
1014,CONSTRUCTION SAFETY ENFORCEMENT,csc scaff,2
1620,WATER CONSERVATION,prevent illegal use hose private residence,25
1623,WATER CONSERVATION,illegal consumption hose secret residence,25
1746,HAZARDOUS MATERIALS,petroleum coke spill,10
436,TRAFFIC,ped multiple lamps,22
2264,DOF PROPERTY - REDUCTION ISSUE,exemption commercial,7
221,PLUMBING,hydrant knocked missing,17
757,PLUMBING,fountain gallons,17
1711,OTHER,cooking gasolene,16
614,HPD LITERATURE REQUEST,home improvement program loan,12
43,STREET CONDITION,trees sidewalks program,21
517,CONSUMER COMPLAINT,returns filed,3
112,CONSTRUCTION,egress doors locked blocked improper secondary means,1
1190,VIOLATION OF PARK RULES,removing window,24
958,MAINTENANCE OR FACILITY,structure outline,14
2317,SEWER,street lighting,20
2226,DOF PROPERTY - REDUCTION ISSUE,personal value sche exemption,7
890,CONSUMER COMPLAINT,disclosure provided,3
2450,FOOD ESTABLISHMENT,food contaminated,9
402,ILLEGAL PARKING,posted parking sign violation,13
1690,OTHER,smoke fumes,16
910,MAINTENANCE OR FACILITY,garbage collections,14
2384,SEWER,missing plate moved hole exposing,20
1489,SCRIE,Script application problem,19
385,STREET CONDITION,flood light lamp missing,21
1671,OTHER,janitor super,16
667,TRAFFIC,ped visor,22
1356,ILLEGAL PARKING,double sided parked lane blocking vehicle,13
1086,ELECTRICAL,bell,8
302,DCA / DOH NEW LICENSE APPLICATION REQUEST,gaming cafe license,4
96,SCRIE,scrie assistance,19
1068,ELECTRICAL,electric propulsion supply,8
919,MAINTENANCE OR FACILITY,hour operation,14
314,FOOD ESTABLISHMENT,food worker hygiene,9
324,FOOD ESTABLISHMENT,food temperature,9
1154,VIOLATION OF PARK RULES,unsafe use playground,24
970,MAINTENANCE OR FACILITY,rodent nest sighting,14
1670,OTHER,janitor,16
1330,ILLEGAL PARKING,blocked hydrant,13
326,PLUMBING,sprinkler system inadequate,17
2396,FOOD ESTABLISHMENT,kitchen food dining prep cooking area,9
1264,HIGHWAY CONDITION,Rail guard highway,11
618,SEWER,street cave internal use,20
1303,ILLEGAL PARKING,blocked pavement,13
1122,ELECTRICAL,studio lighting,8
1903,DOF PROPERTY - PAYMENT ISSUE,refund credit information position,6
190,CONSTRUCTION,curb cut driveway carport illegal,1
1117,ELECTRICAL,gasoline outage,8
953,MAINTENANCE OR FACILITY,Structure interiors,14
2263,DOF PROPERTY - REDUCTION ISSUE,commercial freedom,7
238,OTHER,smoke fumes,16
1996,NOISE,noise construction equipment,15
1015,CONSTRUCTION SAFETY ENFORCEMENT,csc scaffold,2
562,CONSUMER COMPLAINT,door open air conditioning,3
895,DCA / DOH NEW LICENSE APPLICATION REQUEST,industrial laundry delivery license application,4
2143,TREE,one computer address,23
2390,FOOD ESTABLISHMENT,bare de w food,9
1964,SANITATION,chemical litter surveillance,18
2330,SEWER,catch basin clogged flooding,20
2289,DOF PROPERTY - REDUCTION ISSUE,Derogation,7
1987,NOISE,noise dog,15
491,NOISE,noise ice cream truck,15
1647,OTHER,folderol,16
1218,HIGHWAY CONDITION,l litter,11
1630,WATER CONSERVATION,wasting energy,25
2124,TREE,burning entire tree fallen,23
1389,DOF PARKING - PAYMENT ISSUE,tuition penalty incentive payment,5
1108,ELECTRICAL,wiring,8
1748,HAZARDOUS MATERIALS,louisiana petroleum spill,10
982,CONSTRUCTION SAFETY ENFORCEMENT,best high street zoning complaint,2
2087,TREE,bicycle chained sir herbert beerbohm tree,23
1279,HIGHWAY CONDITION,loose home base,11
118,STREET CONDITION,multiple street lights,21
2372,SEWER,salt manhole drainage overflow,20
987,CONSTRUCTION SAFETY ENFORCEMENT,best north rise tracking area,2
541,STREET CONDITION,cellar door open unprotected,21
183,TREE,entire tree fallen,23
1173,VIOLATION OF PARK RULES,biking related competitions,24
447,OTHER,bell buzzer intercom,16
1484,SCRIE,see scrie application problem,19
2125,TREE,christmas tree fallen,23
1385,DOF PARKING - PAYMENT ISSUE,Card issued dof confirmation number,5
1778,HAZARDOUS MATERIALS,spilled oil spill street large,10
2443,FOOD ESTABLISHMENT,exhibition facility,9
2134,TREE,tree tucked away,23
2470,HPD LITERATURE REQUEST,homefirst response received,12
246,TRAFFIC,ped flasher,22
1637,WATER CONSERVATION,water fountain stolen,25
1057,CONSTRUCTION SAFETY ENFORCEMENT,Complaint persecution internal demonstrations,2
1183,VIOLATION OF PARK RULES,smoke,24
2244,DOF PROPERTY - REDUCTION ISSUE,personal gold star exemption,7
480,WATER CONSERVATION,illegal use hose private residence,25
1685,OTHER,notes,16
297,SEWER,defective missing curb piece,20
2154,AIR QUALITY,air moisture odor fumes restaurant,0
1237,HIGHWAY CONDITION,highway,11
702,CONSTRUCTION,deck inspection,1
1845,DOF PROPERTY - PAYMENT ISSUE,status test,6
1636,WATER CONSERVATION,water meter items stolen whilst missing,25
307,TREE,tree alive poor condition,23
164,CONSTRUCTION,working contrary stop work order,1
217,STREET CONDITION,glassware missing,21
2534,CONSTRUCTION,locks,1
741,CONSUMER COMPLAINT,dry cleaner,3
2458,HPD LITERATURE REQUEST,tenant tenant landlord disputes community brochure english,12
492,AIR QUALITY,air odor sweet unknown source,0
1199,VIOLATION OF PARK RULES,unauthorised film shoot,24
2283,DOF PROPERTY - REDUCTION ISSUE,personal name,7
1011,CONSTRUCTION SAFETY ENFORCEMENT,n,2
881,STREET CONDITION,defective streetlight,21
1737,HAZARDOUS MATERIALS,Hazmat problem,10
2117,TREE,dead branches trees,23
1543,SCRIE,split discrepancy,19
2394,FOOD ESTABLISHMENT,kitchen food prep living area,9
2608,PLUMBING,Sink basin,17
2243,DOF PROPERTY - REDUCTION ISSUE,personal star award,7
2257,DOF PROPERTY - REDUCTION ISSUE,Personal exemption,7
1693,OTHER,nasal fumes,16
1072,ELECTRICAL,supply electric,8
717,HAZARDOUS MATERIALS,lead outdoor,10
692,VIOLATION OF PARK RULES,unauthorized climbing,24
1390,DOF PARKING - PAYMENT ISSUE,waive late,5
2331,SEWER,clogged flooding,20
415,SCRIE,application renewal,19
325,DOF PROPERTY - REDUCTION ISSUE,commercial exemption,7
1207,VIOLATION OF PARK RULES,unauthorized bill signs,24
104,AIR QUALITY,air dust construction demolition,0
186,DCA / DOH NEW LICENSE APPLICATION REQUEST,general street vendor license,4
318,DCA / DOH NEW LICENSE APPLICATION REQUEST,secondhand dealer auto license,4
2246,DOF PROPERTY - REDUCTION ISSUE,personal fee exemption,7
272,WATER CONSERVATION,illegal use hydrant,25
2404,FOOD ESTABLISHMENT,food chain worker activity,9
2218,AIR QUALITY,air smoke,0
1818,DOF PROPERTY - PAYMENT ISSUE,personal billing issue,6
977,MAINTENANCE OR FACILITY,Rodent spotted,14
502,FOOD ESTABLISHMENT,permit license,9
1039,CONSTRUCTION SAFETY ENFORCEMENT,csc total demo tracking,2
794,PLUMBING,manhole cover missing dep internal use,17
1558,WATER CONSERVATION,wasting apt key,25
2375,SEWER,manhole overflow,20
1046,CONSTRUCTION SAFETY ENFORCEMENT,best dm dev indicators,2
1607,WATER CONSERVATION,water wastefulness problem,25
1457,DOF PARKING - PAYMENT ISSUE,Status pv Refund,5
785,CONSUMER COMPLAINT,auction house auctioneer,3
655,AIR QUALITY,air dust,0
1521,SCRIE,Permission copy,19
2436,FOOD ESTABLISHMENT,pet stuffed animal,9
279,DCA / DOH NEW LICENSE APPLICATION REQUEST,electronics store license,4
255,HIGHWAY CONDITION,highway fence,11
2054,NOISE,noise canyon,15
32,SEWER,sewer backup,20
1448,DOF PARKING - PAYMENT ISSUE,reflected person,5
2107,TREE,hitting power lines,23
2519,HPD LITERATURE REQUEST,new jumper lead law right requirements,12
1749,HAZARDOUS MATERIALS,petroleum corporation,10
925,MAINTENANCE OR FACILITY,sleeping cars,14
526,CONSTRUCTION,inadequate support shoring,1
1018,CONSTRUCTION SAFETY ENFORCEMENT,excavation victim tracking complaint,2
859,SEWER,recurring soap dep internal use,20
222,DOF PARKING - PAYMENT ISSUE,mailed reflected,5
2417,FOOD ESTABLISHMENT,Rodents Insects Garbage,9
1979,SANITATION,canine blue,18
1020,CONSTRUCTION SAFETY ENFORCEMENT,grave excavation tracking complaint,2
1038,CONSTRUCTION SAFETY ENFORCEMENT,csc event time tracking,2
2536,CONSTRUCTION,locks,1
867,PLUMBING,water wnw,17
1090,ELECTRICAL,electrical body wiring defective exposed,8
2602,PLUMBING,basin sink,17
1644,OTHER,motor rubbish,16
87,CONSUMER COMPLAINT,price posted,3
1922,SANITATION,another dirty brick area alleyway,18
287,CONSUMER COMPLAINT,house property damaged,3
2397,FOOD ESTABLISHMENT,smart food prep,9
2097,TREE,Fallen branch,23
1235,HIGHWAY CONDITION,highway public,11
1196,VIOLATION OF PARK RULES,unauthorized film recording shoot,24
2520,HPD LITERATURE REQUEST,new lead requirements law rights,12
268,STREET CONDITION,fixture luminaire damaged,21
209,STREET CONDITION,plate condition noisy,21
2527,HPD LITERATURE REQUEST,housing didactics computer programme course guide,12
1280,HIGHWAY CONDITION,Plate loose,11
1858,DOF PROPERTY - PAYMENT ISSUE,unresolved agency take charge,6
1745,HAZARDOUS MATERIALS,Release chemicals,10
1720,OTHER,cabinet,16
1050,CONSTRUCTION SAFETY ENFORCEMENT,interior demo tracking complaint,2
1439,DOF PARKING - PAYMENT ISSUE,status payment adaptation,5
2139,TREE,project address,23
839,HAZARDOUS MATERIALS,indoor air complaint,10
134,FOOD ESTABLISHMENT,sewage,9
2192,AIR QUALITY,ventilation,0
408,PLUMBING,gas utility referral,17
823,CONSUMER COMPLAINT,bill rights,3
512,STREET CONDITION,block box,21
915,MAINTENANCE OR FACILITY,hours,14
1327,ILLEGAL PARKING,halt bike lane,13
1372,ILLEGAL PARKING,overnight commercial waste storage,13
1359,ILLEGAL PARKING,doubly parked blocking fomite,13
98,FOOD ESTABLISHMENT,kitchen food prep area,9
1175,VIOLATION OF PARK RULES,biking rollerblade path,24
1608,WATER CONSERVATION,waste water problem,25
1935,SANITATION,dirty sidewalk,18
477,CONSTRUCTION,smoking signs smoking signs observed construction site,1
548,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term tattoo license,4
1450,DOF PARKING - PAYMENT ISSUE,high status pv refund,5
974,MAINTENANCE OR FACILITY,rodent,14
1982,SANITATION,canine channel,18
1698,OTHER,janitor super,16
341,HPD LITERATURE REQUEST,housing education program course guide,12
590,TRAFFIC,detector sensor,22
420,DOF PARKING - PAYMENT ISSUE,status pv refund,5
798,CONSTRUCTION,plan compliance inspection,1
2542,CONSTRUCTION,mold,1
205,DOF PARKING - PAYMENT ISSUE,card charged twice,5
1927,SANITATION,dirty surface area alleyway,18
47,STREET CONDITION,cave,21
1619,WATER CONSERVATION,illegal use private works,25
1433,DOF PARKING - PAYMENT ISSUE,Shipping Reflected,5
1573,WATER CONSERVATION,meter towers leaking,25
2178,AIR QUALITY,air tunnel dust construction site demolition,0
1288,HIGHWAY CONDITION,barrier concrete,11
291,STREET CONDITION,construction,21
2496,HPD LITERATURE REQUEST,landlord tenant disputes spanish brochure,12
2310,SEWER,sewer,20
2626,DCA / DOH NEW LICENSE APPLICATION REQUEST,full laundry license,4
573,DCA / DOH NEW LICENSE APPLICATION REQUEST,locksmith apprentice license,4
305,STREET CONDITION,flood light lamp,21
55,DOF PROPERTY - PAYMENT ISSUE,billing issue,6
551,STREET CONDITION,hummock,21
2287,DOF PROPERTY - REDUCTION ISSUE,personal dhe freedom,7
1178,VIOLATION OF PARK RULES,love smoking,24
2603,PLUMBING,sink,17
767,SEWER,catch basin connection broken internal use,20
350,HAZARDOUS MATERIALS,unsafe chemical unknown,10
1813,HAZARDOUS MATERIALS,water dep internal use,10
1170,VIOLATION OF PARK RULES,biking trail rollerblading bike path,24
1345,ILLEGAL PARKING,Parking permit misused,13
611,FOOD ESTABLISHMENT,milk expired,9
712,SEWER,rain garden flooding,20
2377,SEWER,Sewer overflow,20
392,DCA / DOH NEW LICENSE APPLICATION REQUEST,catering establishment license,4
1793,HAZARDOUS MATERIALS,unsafe storage chemical substances,10
1800,HAZARDOUS MATERIALS,spill oil small street,10
811,DOF PROPERTY - REDUCTION ISSUE,personal crime victim good samaritan exemption,7
1578,WATER CONSERVATION,water meter stolen missing private group residence,25
1400,DOF PARKING - PAYMENT ISSUE,reduction settlement shown,5
674,NOISE,noise loud music daytime,15
749,CONSUMER COMPLAINT,travel agency,3
2161,AIR QUALITY,Odour nuisance restaurant,0
295,MAINTENANCE OR FACILITY,grass weeds,14
2339,SEWER,class sunken damaged raised,20
1684,OTHER,stereo signage,16
1574,WATER CONSERVATION,water meter cycling,25
1615,WATER CONSERVATION,illegal usage hose,25
1535,SCRIE,tac report,19
543,CONSUMER COMPLAINT,layaway terms provided,3
686,PLUMBING,roof gutters,17
2622,DCA / DOH NEW LICENSE APPLICATION REQUEST,home independent software license,4
370,AIR QUALITY,air dust residential,0
382,VIOLATION OF PARK RULES,use newly seeded lawn,24
2072,TREE,branch fall cracked,23
376,HPD LITERATURE REQUEST,certificate harassment exemption sro,12
1126,ELECTRICAL,lighting,8
1078,ELECTRICAL,lighting,8
2592,PLUMBING,bathtub,17
605,TRAFFIC,turn signal,22
632,DCA / DOH NEW LICENSE APPLICATION REQUEST,compressed air license,4
2338,SEWER,catch basin sunken damaged beam raised,20
488,STREET CONDITION,crash cushion defect,21
1738,HAZARDOUS MATERIALS,chemical oil spill release,10
46,HAZARDOUS MATERIALS,chemical spill release,10
2272,DOF PROPERTY - REDUCTION ISSUE,veteran personal exemption,7
9,PLUMBING,basin sink,17
1579,WATER CONSERVATION,water meter pump private residence,25
2298,DOF PROPERTY - REDUCTION ISSUE,barker homestead,7
